x1;y1;x2;y2;x3;y3;x4;y4;x5;y5;x6;y6
-38,6;0;-12,25;0;-7,372;3,9101;-41,66666667;3,3695;-15,56;3,7817;-26,06;2,1333
-37,056;0;-10,718;0;-5,529;4,791;-40;3,9771;-14,26333333;4,7521;-24,68833333;2,1333
-35,512;0;-9,186;0;-3,686;4,7885;-38,33333334;5,2402;-12,96666667;6,3379;-23,31666667;1,7945
-33,968;0;-7,654;2,7626;-1,843;6,1783;-36,66666667;6,3512;-11,67;7,1309;-21,945;4,345
-32,424;0;-6,122;2,0747;0;7,3392;-35;5,7925;-10,37333333;7,1722;-20,57333333;3,6978
-30,88;0;-4,59;3,8587;1,843;6,2692;-33,33333334;6,5403;-9,076666667;5,7202;-19,20166667;3,0276
-29,336;0;-3,058;4,9498;3,686;6,6565;-31,66666667;6,5636;-7,78;8,1851;-17,83;7,8214
-27,792;0;-1,526;5,6869;5,529;7,6643;-30;6,295;-6,483333333;7,6164;-16,45833333;3,9252
-26,248;1,9155;0,006;6,7804;7,372;8,1731;-28,33333334;5,1862;-5,186666667;6,8647;-15,08666667;5,2336
-24,704;1,7326;1,538;6,499;9,215;9,3764;-26,66666667;7,9057;-3,89;7,5242;-13,715;5,5244
-23,16;1,5619;3,07;7,8721;11,058;10,5116;-25;9,0727;-2,593333333;8,0084;-12,34333333;5,1173
-21,616;3,7872;4,602;9,086;12,901;11,5289;-23,33333334;6,2018;-1,296666667;7,1747;-10,97166667;6,0187
-20,072;3,2829;6,134;9,3826;14,744;12,7231;-21,66666667;6,4781;0;7,9648;-9,6;5,6988
-18,528;2,7805;7,666;8,285;16,587;11,6473;-20;5,4527;1,296666667;9,9243;-8,228333333;5,9546
-16,984;3,3633;9,198;9,7333;18,43;11,6986;-18,33333334;6,263;2,593333333;9,4629;-6,856666667;5,918
-15,44;2,9322;10,73;10,1603;20,273;11,2676;-16,66666667;6,8728;3,89;10,2295;-5,485;9,3154
-13,896;2,1135;12,262;10,138;22,116;11,1574;-15;3,8498;5,186666667;11,5738;-4,113333333;7,2738
-12,352;3,1089;13,794;10,3633;23,959;12,2894;-13,33333334;6,3278;6,483333333;12,1092;-2,741666667;7,3916
-10,808;2,5745;15,326;10,2221;25,802;15,4241;-11,66666667;5,4527;7,78;14,7507;-1,37;9,4824
-9,264;3,6458;16,858;13,5021;27,645;14,2515;-10;7,14;9,076666667;14,8704;0,001666667;11,1904
-7,72;3,844;18,39;12,3262;29,488;14,0202;-8,333333337;6,396;10,37333333;14,0244;1,373333333;12,3095
-6,176;4,444;19,922;11,8025;31,331;9,6949;-6,66666667;5,7226;11,67;11,1489;2,745;15,9793
-4,632;4,8766;21,454;12,3081;33,174;11,4862;-5,000000003;6,1448;12,96666667;9,4695;4,116666667;14,171
-3,088;5,1263;22,986;12,6309;35,017;13,1046;-3,333333337;6,0622;14,26333333;9,77;5,488333333;13,4699
-1,544;5,0848;24,518;11,8805;36,86;13,2715;-1,66666667;6,7849;15,56;10,7319;6,86;14,9121
0;5,7047;26,05;10,8237;38,703;15,0106;-3,33333E-09;6,3432;16,85666667;11,3019;8,231666667;14,5036
1,544;6,6469;27,582;11,969;40,546;15,3524;1,666666663;6,9074;18,15333333;11,1143;9,603333333;15,5249
3,088;8,3677;29,114;11,4604;42,389;14,7902;3,33333333;8,5112;19,45;12,3005;10,975;10,2615
4,632;10,7041;30,646;13,2368;44,232;18,1447;4,999999997;8,0665;20,74666667;11,5704;12,34666667;12,85
6,176;9,3464;32,178;14,235;46,075;19,4126;6,666666663;7,6912;22,04333333;12,4253;13,71833333;12,8037
7,72;9,2034;33,71;13,0682;47,918;19,3529;8,33333333;7,8713;23,34;12,9865;15,09;15,3922
9,264;9,4542;35,242;14,4727;;;9,999999997;8,711;24,63666667;12,0364;16,46166667;16,4091
10,808;11,3251;36,774;15,7066;;;11,66666666;8,9731;25,93333333;10,8332;17,83333333;19,0144
12,352;8,2918;38,306;13,0789;;;13,33333333;10,7455;27,23;11,7842;19,205;18,4664
13,896;9,6417;39,838;15,7876;;;15;10,3459;28,52666667;11,7842;20,57666667;18,7952
15,44;9,1939;41,37;17,957;;;16,66666666;11,5037;29,82333333;14,3803;21,94833333;16,9321
16,984;13,1589;42,902;12,9824;;;18,33333333;11,2775;31,12;15,2665;;
18,528;16,0859;44,434;14,1569;;;20;9,2473;32,41666667;14,8373;;
20,072;15,4258;45,966;14,148;;;21,66666666;10,8319;33,71333333;14,961;;
21,616;13,8081;47,498;10,1982;;;23,33333333;10,4767;35,01;16,0608;;
23,16;11,6534;49,03;14,6614;;;25;9,94;36,30666667;15,4464;;
24,704;15,0339;50,562;15,7328;;;26,66666666;12,0036;37,60333333;13,9945;;
26,248;13,4188;52,094;14,9346;;;28,33333333;12,1342;38,9;15,8014;;
27,792;13,4871;53,626;11,2328;;;30;13,8738;40,19666667;16,2831;;
29,336;10,9885;55,158;11,2154;;;31,66666666;16,7642;41,49333333;16,7647;;
30,88;11,9652;56,69;12,5763;;;33,33333333;13,9455;;;;
32,424;9,8832;58,222;11,6054;;;35;13,8376;;;;
33,968;10,0178;59,754;9,9976;;;36,66666666;16,0613;;;;
35,512;9,8024;61,286;13,3693;;;38,33333333;19,9819;;;;
37,056;10,93;62,818;13,8706;;;40;13,9312;;;;
