x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x-total,y-total
,,,,,,-41,3.6125400007291195,,,,,-41,3.6125400007291195
,,,,,,-40,3.9771,,,,,-40,3.9771
,,,,,,-39,4.734960003031441,,,,,-39,4.734960003031441
-38,0.0,,,,,-38,5.462400003999601,,,,,-38,2.7312000019998006
-37,0.0,,,,,-37,6.1290000026664,,,,,-37,3.0645000013332
-36,0.0,,,,,-36,6.127719999329561,,,,,-36,3.0638599996647806
-35,0.0,,,,,-35,5.7925,,,,,-35,2.89625
-34,0.0,,,,,-34,6.241180001794721,,,,,-34,3.1205900008973604
-33,0.0,,,,,-33,6.54496000008388,,,,,-33,3.27248000004194
-32,0.0,,,,,-32,6.55894000005592,,,,,-32,3.27947000002796
-31,0.0,,,,,-31,6.45615999967768,,,,,-31,3.22807999983884
-30,0.0,,,,,-30,6.295,,,,,-30,3.1475
-29,0.0,,,,,-29,5.6297199973388805,,,,,-29,2.8148599986694403
-28,0.0,,,,,-28,5.7301000097902,,,,,-28,2.8650500048951
-27,0.9825621761658047,,,,,-27,7.361800006526803,,,,,-27,4.172181091346304
-26,1.886122279792746,,,,,-26,8.3725000014004,,,-26,2.1333,-26,4.130640760397715
-25,1.767663730569948,,,,,-25,9.0727,,,-25,2.1333,-25,4.32455457685665
-24,1.6547678756476683,,,,,-24,7.350159993109841,,,-24,1.9632825030346661,-24,3.656070123930725
-23,1.7925010362694302,,,,,-23,6.25706000099468,,,-23,2.3833153146091974,-23,3.4776254506244357
-22,3.2337575129533676,,,,,-22,6.422840000663121,,,-22,4.242732078012802,-22,4.63310986387643
-21,3.5860025906735755,,,,,-21,6.0679399987695195,,,-21,3.8991161614723784,-21,4.517686250305157
-20,3.259472020725389,,,,,-20,5.4527,,,-20,3.417667800996198,-20,4.043279940573863
-19,2.9340834196891197,,,,,-19,5.93888000194472,,,-19,3.732399280896725,-19,4.201787567510189
-18,2.979799481865285,,,,,-18,6.38496000219528,,,-18,7.227271690386697,-18,5.530677058149088
-17,3.3572606217616587,,,,,-17,6.75084000146352,,,-17,5.463796603542175,-17,5.190632408922451
-16,3.0885575129533676,,,,,-16,5.663599996372398,,,-16,4.362393194571047,-16,4.371516901298938
-15,2.6988917098445597,,,,,-15,3.8498,-15,4.200793058048604,-15,5.251973755218533,-15,4.000364630777924
-14,2.168645595854922,,,,,-14,5.336600005947199,-14,5.074151925599754,-14,5.463978614970648,-14,4.510844035593131
-13,2.6911414507772027,,,,,-13,6.15277999684964,-13,6.297133937028967,-13,5.312193560661498,-13,5.113312236329326
-12,2.9870678756476683,-12,0.0,,,-12,5.62771999789976,-12,6.9290825197990165,-12,5.3429238142159114,-12,4.177358841512471
-11,2.640953886010363,-11,0.0,,,-11,6.127620002024759,-11,7.152240102772905,-11,6.000080561030768,-11,4.384178910367759
-10,3.135128497409326,-10,0.0,,,-10,7.14,-10,6.75414344728056,-10,5.792087970611695,-10,4.564271983060317
-9,3.6796891191709844,-9,0.335407049608355,,,-9,6.69359999901792,-9,5.865939589285131,-9,5.810693074091885,-9,4.477065766234856
-8,3.808056994818653,-8,2.138670757180156,,,-8,6.261319998545456,-8,7.766890745608794,-8,5.948507411913588,-8,5.184689181613329
-7,4.123792746113989,-7,2.4689403394255875,-7,4.087905100379816,-7,5.8572799986262645,-7,7.843002827851438,-7,5.921824544342904,-7,5.05045759279
-6,4.4933119170984455,-6,2.2167678851174935,-6,4.565875800325556,-6,5.891480000810624,-6,7.336203341951492,-6,8.039826974793579,-6,5.423910986682865
-5,4.773493264248705,-5,3.3812587467362922,-5,4.790282419967444,-5,6.14479999985132,-5,6.959640874181121,-5,8.593521992885025,-5,5.773832882978318
-4,4.978808808290156,-4,4.278901697127937,-4,4.788925935973956,-4,6.095239999831496,-4,7.468252699243175,-4,7.283533171300526,-4,5.815610385294541
-3,5.123934715025906,-3,4.977705874673629,-3,5.305810255018991,-3,6.206740001561032,-3,7.8565429305058245,-3,7.369414094793057,-3,6.140024645263073
-2,5.097056476683938,-2,5.458841644908616,-2,6.059906836679327,-2,6.640360001474308,-2,7.626912596419209,-2,8.522105468034093,-2,6.567530504033248
-1,5.3032103626943,-1,6.0623445169712795,-1,6.709303092783506,-1,6.608219999116601,-1,7.3554683806193655,-1,9.943124179717929,-1,6.996945088650496
0,5.7047,0,6.776117362924282,0,7.3392,0,6.343200001128399,0,7.9648,0,11.18832466544206,0,7.552723671582457
1,6.314933160621761,1,6.5978206266318535,1,6.75862485078676,1,6.681720001196104,1,9.475982518891728,1,12.00490899161845,1,7.972331691624443
2,7.1551155440414504,2,6.913081070496084,2,6.3021930005425935,2,7.228160003464208,2,9.674029048833125,2,13.98610364568486,2,8.54311371884372
3,8.269623316062175,3,7.80936044386423,3,6.512339500813891,3,8.190440003271753,3,9.703324678798502,3,15.643127582098705,3,9.354702587484876
4,9.747749740932642,4,8.608997519582246,4,6.828203309820944,4,8.333319999146177,4,10.343540874006672,4,14.324804374642646,4,9.697769303021888
5,10.38050310880829,5,9.16305404699739,5,7.37502913727618,5,8.06649999932446,5,11.380276092249158,5,13.71950182255118,5,10.014144034534445
6,9.501163730569948,6,9.356657180156658,6,7.794329734129137,6,7.841319999234388,6,11.909629305947623,6,14.007877399976726,6,10.068496225002415
7,9.270083937823834,7,8.762155091383812,7,8.070401356483993,7,7.727220000389016,7,13.161725707349351,7,14.87040619685096,7,10.31033204838016
8,9.248881865284975,8,8.600752088772845,8,8.58312300596853,8,7.835280000367404,8,14.771008997424085,8,14.572593317214947,8,10.60193987917213
9,9.411317098445597,9,9.546117624020887,9,9.236025881714596,9,8.207180001612224,9,14.863322622079018,9,15.07567691376011,9,11.056606690272071
10,10.346027979274613,10,9.956833942558747,10,9.859922517634292,10,8.711000000471781,10,14.26797840468364,10,14.00279890553067,10,11.19076029169229
11,10.947902072538861,11,10.156369843342036,11,10.47587476939772,11,8.868260000817752,11,12.634698196694606,11,10.308678007175752,11,10.565297148327788
12,8.983329533678758,12,10.141813707571801,12,11.031565599565925,12,9.32758000638064,12,10.721494859710553,12,12.195798294205836,12,10.400263666852252
13,8.858338341968912,13,10.24653224543081,13,11.593048562126967,13,10.39102000425376,13,9.477224934999871,13,12.827947023091602,13,10.565685185311988
